Question,Option A,Option B,Option C,Option D,Correct Answer,Subject,Topic,Year
A transcription unit in DNA is defined primarily by:,"Structural gene, Transposons, Operator gene","Inductor, Repressor, Structural gene","Promoter, Structural gene, Terminator","Repressor, Operator gene, Structural gene",C,Botany,Molecular Biology,2024
Correct statements about pollination:,"A,B,C,D only","A,C,D,E only","B,C,D,E only","C,D,E only",C,Botany,Reproduction,2024
Lecithin is an example of:,Phospholipids,Glycerides,Carbohydrates,Amino acids,A,Botany,Biomolecules,2024
Major causes of biodiversity loss:,"A,B,C,D only","A,B,E only","A,B,D only","A,C,D only",C,Botany,Ecology,2024
Match microbes with products:,"A-II,B-IV,C-III,D-I","A-III,B-I,C-IV,D-II","A-IV,B-I,C-III,D-II","A-III,B-I,C-II,D-IV",B,Botany,Microbiology,2024
Match fungi with their types:,"A-I,B-III,C-II,D-IV","A-III,B-II,C-I,D-IV","A-IV,B-III,C-II,D-I","A-III,B-II,C-IV,D-I",D,Botany,Mycology,2024
Lactose transport in bacteria is by:,Acetylase,Permease,Polymerase,Beta-galactosidase,B,Botany,Microbiology,2024
Endangered species list released by:,WWF,FOAM,IUCN,GEAC,C,Botany,Conservation,2024
ATP/NADPH required per CO₂ in Calvin cycle:,2 ATP + 2 NADPH,3 ATP + 3 NADPH,3 ATP + 2 NADPH,2 ATP + 3 NADPH,C,Botany,Photosynthesis,2024
"In logistic growth equation, K indicates:",Biotic potential,Carrying capacity,Population density,Intrinsic rate,B,Botany,Ecology,2024
Bulliform cells function:,Salt stress protection,Increased photosynthesis,Sugar storage,Leaf curling,D,Botany,Anatomy,2024
Non-criterion for fungi classification:,Nutrition mode,Spore formation,Fruiting body,Mycelium morphology,A,Botany,Mycology,2024
Tropical species richness reasons:,"A,B only","A,B,E only","A,B,D only","A,C,D,E only",D,Botany,Ecology,2024
Actinomorphic flower example:,Cassia,Pisum,Sesbania,Datura,D,Botany,Morphology,2024
Flower type based on ovary position:,(a)Hypogynous;(b)Epigynous,(a)Perigynous;(b)Epigynous,(a)Perigynous;(b)Perigynous,(a)Epigynous;(b)Hypogynous,C,Botany,Morphology,2024
Match cell structures with functions:,"A-II,B-IV,C-I,D-III","A-III,B-IV,C-II,D-I","A-I,B-II,C-III,D-IV","A-III,B-II,C-IV,D-I",D,Botany,Cell Biology,2024
Fate of alien DNA in organism:,"D,E only","B,C only","A,E only","A,B only",B,Botany,Biotechnology,2024
Hind II recognition sequence length:,6 bp,4 bp,10 bp,8 bp,A,Botany,Molecular Biology,2024
Carboxypeptidase cofactor:,Niacin,Flavin,Haem,Zinc,D,Botany,Enzymology,2024
Requirements for dark reaction:,"B,C,D only","C,D,E only","D,E only","A,B,C only",B,Botany,Photosynthesis,2024
Conservation method for threatened species:,Biodiversity conservation,Semi-conservative,Sustainable development,Ex-situ conservation,D,Botany,Conservation,2024
Match genetic terms:,"A-II,B-I,C-III,D-IV","A-III,B-IV,C-I,D-II","A-IV,B-III,C-II,D-I","A-I,B-II,C-III,D-IV",B,Botany,Genetics,2024
Interfascicular cambium formation is:,Redifferentiation,Dedifferentiation,Maturation,Differentiation,B,Botany,Anatomy,2024
Spindle fibers attach during:,Metaphase,Anaphase,Telophase,Prophase,A,Botany,Cell Division,2024
Test cross genotype for black seed plant:,bb,Bb,BB/Bb,BB,A,Botany,Genetics,2024
Snapdragon cross phenotypes:,Red + pink,Only pink,Red+pink+white,Only red,A,Botany,Genetics,2024
Malonate inhibits succinic dehydrogenase by:,Feedback inhibition,Competitive inhibition,Enzyme activation,Cofactor inhibition,B,Botany,Enzymology,2024
Bt toxin statements:,Both false,I true II false,I false II true,Both true,B,Botany,Biotechnology,2024
Guard cell wall characteristics:,D,A,B,C,D,Botany,Anatomy,2024
Mendel's law of dominance explains:,"A,C,D,E only","B,C,D only","A,B,C,D,E","A,B,C only",A,Botany,Genetics,2024
Root-forming seed part:,B,C,D,A,B,Botany,Morphology,2024
Auxin weed control mechanism:,Abscission promotion,No effect on monocots,Cell division in grasses,Apical dominance,B,Botany,Plant Physiology,2024
Leptotene & diplotene characteristics:,Both false,I true II false,I false II true,Both true,D,Botany,Cell Division,2024
Whole plant regeneration capacity:,Micropropagation,Differentiation,Somatic hybridization,Totipotency,D,Botany,Biotechnology,2024
Parenchyma & gymnosperm statements:,Both false,I true II false,I false II true,Both true,C,Botany,Anatomy,2024
Stem lengthening PGR for sugarcane:,Gibberellin,Cytokinin,Abscisic acid,Auxin,A,Botany,Plant Physiology,2024
C3/C4 photorespiration statements:,Both false,I true II false,I false II true,Both true,B,Botany,Photosynthesis,2024
Match biological molecules:,"A-I,B-II,C-III,D-IV","A-IV,B-I,C-II,D-III","A-III,B-IV,C-I,D-II","A-IV,B-I,C-II,D-III",D,Botany,Biochemistry,2024
Phaeophyceae characteristics:,"B,C,D,E only","A,C,D,E only","A,B,C,E only","A,B,C,D only",B,Botany,Algae,2024
E.coli replication polymerase direction:,5'→3' only,5'→3' & 3'→5',5'→3' only,3'→5' only,C,Botany,Molecular Biology,2024
Non-oxidative TCA cycle step:,Succinic→Malic,Succinyl-CoA→Succinic,Isocitrate→α-KG,Malic→OAA,B,Botany,Respiration,2024
Match ecologists with contributions:,"A-III,B-I,C-IV,D-II","A-III,B-IV,C-I,D-II","A-II,B-I,C-IV,D-III","A-IV,B-III,C-II,D-I",A,Botany,Ecology,2024
Wind-pollinated inflorescence:,Water-pollinated flowers,Cleistogamous flowers,Compact inflorescence,Exposed stamens,D,Botany,Reproduction,2024
NPP to GPP conversion at 3rd trophic level:,x kcal/m²/yr,10x kcal/m²/yr,100x/3 kcal/m²/yr,x/10 kcal/m²/yr,B,Botany,Ecology,2024
Match plants with features:,"A-I,B-II,C-III,D-IV","A-II,B-III,C-IV,D-I","A-II,B-IV,C-I,D-III","A-IV,B-III,C-II,D-I",C,Botany,Morphology,2024
Match stamen types:,"A-IV,B-I,C-II,D-III","A-IV,B-II,C-I,D-III","A-III,B-I,C-IV,D-II","A-I,B-II,C-IV,D-III",B,Botany,Morphology,2024
Somatic hybridization involves:,Somatic embryos,Protoplasts,Pollens,Callus,B,Botany,Biotechnology,2024
